,article,bjp_count
0,0,2.448979592
1,1,5.027932961
2,2,3.269754768
3,3,3.980099502
4,4,2.823529412
5,5,6.072106262
6,6,4.87804878
7,7,2.97029703
8,8,6.467661692
9,9,2.173913043
10,10,1.255230126
11,11,1.405975395
12,12,1.849405548
13,13,1.526717557
14,14,2.719665272
15,15,1.171875
16,16,2.604166667
17,17,1.632653061
18,18,0
19,19,0.829875519
20,20,11.29707113
21,21,6.694560669
22,22,2.681992337
23,23,5.637254902
24,24,4.585152838
25,25,2.494802495
26,26,6.944444444
27,27,4.587155963
28,28,4.47761194
29,29,0.793650794
30,30,0.884955752
31,31,0.772200772
32,32,4.032258065
33,33,1.481481481
34,34,1.328903654
35,35,0
36,36,1.477832512
37,37,7.450980392
38,38,2.777777778
39,39,2.305475504
40,40,4.8
41,41,1.754385965
42,42,0.6
43,43,4.255319149
44,44,4.694835681
45,45,3.539823009
46,46,3.496503497
47,47,5.470459519
48,48,5.394190871
49,49,3.071672355
50,50,3.111111111
51,51,3.856041131
52,52,3.203661327
53,53,0.760456274
54,54,1.739130435
55,55,1.188455008
56,56,0.437956204
57,57,2.164502165
58,58,2.4
59,59,1.826484018
60,60,1.41509434
61,61,1.93236715
62,62,5.058365759
63,63,4.651162791
64,64,5.571030641
65,65,3.349282297
66,66,0.735294118
67,67,0.524475524
68,68,5.440414508
69,69,1.960784314
70,70,1.395348837
71,71,3.342618384
72,72,4.460966543
73,73,2.870813397
74,74,7.906976744
75,75,5.627705628
76,76,1.666666667
77,77,4.492512479
78,78,2.739726027
79,79,2.702702703
80,80,8.333333333
81,81,1.895734597
82,82,5.405405405
83,83,4.430379747
84,84,2.933333333
85,85,10.0591716
86,86,4.90797546
87,87,3.20754717
88,88,10.45751634
89,89,4.504504505
90,90,4.697986577
91,91,8.076923077
92,92,10.33210332
93,93,4.721030043
94,94,3.888888889
95,95,3.020134228
96,96,2.739726027
97,97,15.42553191
98,98,5.287356322
99,99,4.291845494
100,100,5.714285714
101,101,7.971014493
102,102,2.139037433
103,103,1.834862385
104,104,1.111111111
105,105,6.280193237
106,106,8.275862069
107,107,4.166666667
108,108,6.367041199
109,109,0.81300813
110,110,7.177033493
111,111,1.776649746
112,112,4.012345679
113,113,8.14479638
114,114,14.51612903
115,115,2.431610942
116,116,3.139013453
117,117,5.027932961
118,118,0.772200772
119,119,9.019607843
120,120,10.82802548
121,121,6.285714286
122,122,15.83333333
123,123,4.987531172
124,124,9.701492537
125,125,14.69387755
126,126,0.515463918
127,127,7.142857143
128,128,1.069518717
129,129,0
130,130,3.272727273
131,131,6.71641791
132,132,4.245283019
133,133,5.263157895
134,134,1.063829787
135,135,5.988023952
136,136,6.013745704
137,137,5.72519084
138,138,6.172839506
139,139,7.412790698
140,140,1.212121212
141,141,1.192842942
142,142,5.339805825
143,143,9.62962963
144,144,5.172413793
145,145,3.022339028
146,146,3.9408867
147,147,2.386634845
148,148,9.803921569
149,149,2.53164557
150,150,6.278026906
151,151,3.661327231
152,152,13.48314607
153,153,1.694915254
154,154,12.23529412
155,155,3.463687151
156,156,6.698564593
157,157,4.987531172
158,158,10.45751634
159,159,4.827586207
160,160,4.468085106
161,161,9.239130435
162,162,14.61538462
163,163,8.322496749
164,164,4.582210243
165,165,4.675324675
166,166,2.762430939
167,167,2.857142857
168,168,4.04040404
169,169,5.800464037
170,170,2.745098039
171,171,1.481481481
172,172,5.555555556
173,173,9.482758621
174,174,7.770961145
175,175,2.713178295
176,176,3.240740741
177,177,1.201201201
178,178,1.423487544
179,179,1.01010101
180,180,0.389105058
181,181,1.983002833
182,182,2.173913043
183,183,1.648351648
184,184,0.617283951
185,185,0
186,186,1.228501229
187,187,1.402805611
188,188,0
189,189,0.331674959
190,190,1.104972376
191,191,0.33557047
192,192,0.934579439
193,193,0
194,194,1.075268817
195,195,1.524390244
196,196,3.006012024
197,197,0
198,198,1.324503311
199,199,1.234567901
200,200,0.955414013
201,201,2.777777778
202,202,0.418410042
203,203,0.865800866
204,204,1.89701897
205,205,0
206,206,1.960784314
207,207,3.260869565
208,208,3.333333333
209,209,1.086956522
210,210,1.183431953
211,211,1.840490798
212,212,0.383141762
213,213,1.318681319
214,214,0.204081633
215,215,1.166180758
216,216,1.215805471
217,217,0
218,218,1.361867704
219,219,1.982378855
220,220,3.197158082
221,221,1.865671642
222,222,2.657004831
223,223,0.469483568
224,224,0.17211704
,,3.829143268
